XCoord,YCoord,NAME
322721.84007163,107889.11960886,NARRAGANSETT
319338.11454296,107856.18091879,SOUTH KINGSTOWN
297042.25197482,104560.29769180,SOUTH KINGSTOWN
297237.83425719,107128.39925456,SOUTH KINGSTOWN
296904.35716154,107008.43595843,SOUTH KINGSTOWN
288275.76382067,106620.41024815,CHARLESTOWN
287641.31387017,106582.01150671,CHARLESTOWN
295919.94119367,105732.23993241,SOUTH KINGSTOWN
287918.68473849,105545.00914318,CHARLESTOWN
288041.21372249,105484.52842616,CHARLESTOWN
294989.37296159,105008.68706142,SOUTH KINGSTOWN
287985.53715303,104937.58248452,CHARLESTOWN
286455.09405659,104892.10303350,CHARLESTOWN
294015.38399626,104442.86986414,CHARLESTOWN
298516.07907499,104776.93266088,SOUTH KINGSTOWN
286830.82378225,104308.44763536,CHARLESTOWN
294620.15151819,103678.85908700,SOUTH KINGSTOWN
297256.05354733,103761.90979531,SOUTH KINGSTOWN
288687.65129463,103877.52473608,CHARLESTOWN
298063.78419280,103551.77146817,SOUTH KINGSTOWN
287136.91014681,103668.15736973,CHARLESTOWN
287271.21823616,103541.79271065,CHARLESTOWN
292382.49227901,102633.58916603,CHARLESTOWN
291736.00377219,102493.86191021,CHARLESTOWN
294097.05946159,102765.64897170,SOUTH KINGSTOWN
290042.64457846,101990.11017254,CHARLESTOWN
293883.57000897,102634.68899984,CHARLESTOWN
294207.69757089,102606.40470892,SOUTH KINGSTOWN
291736.45795626,100924.40313524,CHARLESTOWN
290280.21687935,101961.74890870,CHARLESTOWN
289477.52486873,101609.07796478,CHARLESTOWN
292394.50729047,101940.06920555,CHARLESTOWN
290773.97692617,101882.79319772,CHARLESTOWN
291572.02513495,101716.85769142,CHARLESTOWN
290761.12566139,101619.18444429,CHARLESTOWN
290570.36016281,101510.72004284,CHARLESTOWN
288535.95603288,101054.28803294,CHARLESTOWN
277238.93115674,100971.03283287,CHARLESTOWN
286148.02823916,100118.93420819,CHARLESTOWN
287509.04849291,100220.21483423,CHARLESTOWN
286514.61977071,100317.75060907,CHARLESTOWN
287051.19569048,100151.40035078,CHARLESTOWN
286656.85678557,99749.68643045,CHARLESTOWN
285928.12358378,99702.96629765,CHARLESTOWN
286314.62267889,99547.16212197,CHARLESTOWN
267628.57301936,96049.54124843,CHARLESTOWN
267591.30795943,95933.63611713,CHARLESTOWN
266817.21718590,95871.47292561,CHARLESTOWN
269435.71462067,95074.17731334,CHARLESTOWN
265086.73430958,94971.53377927,CHARLESTOWN
262220.79660146,91624.74166717,WESTERLY
268242.79744148,94036.64846575,CHARLESTOWN
267461.04118473,93735.34968960,CHARLESTOWN
268694.82555323,92641.72054096,CHARLESTOWN
249707.07653167,92516.35558584,WESTERLY
266582.65577838,91201.07537143,CHARLESTOWN
249809.70183827,92215.28321882,WESTERLY
259417.34172383,92227.98748289,WESTERLY
252288.53231652,91621.54839408,WESTERLY
252394.46921509,91617.49563021,WESTERLY
250193.76413928,91489.06013380,WESTERLY
251301.03550906,91406.88796402,WESTERLY
253693.87530905,91093.13606210,WESTERLY
267017.03072960,91296.39881649,CHARLESTOWN
249866.99906722,91018.96865831,WESTERLY
249658.55693141,91110.25744050,WESTERLY
252774.29132755,90982.54395667,WESTERLY
253903.32011835,90780.54560244,WESTERLY
253768.46343580,90547.25142309,WESTERLY
252941.36561524,90524.59594235,WESTERLY
220991.50467841,88941.58628311,WESTERLY
232329.43648702,87995.27571209,WESTERLY
231533.94974444,87238.03114376,WESTERLY
231491.82391156,87179.61695282,WESTERLY
231424.77083042,86997.41966749,WESTERLY
222557.31075217,86556.26731238,WESTERLY
224093.57424546,86200.57111334,WESTERLY
224545.50241297,86221.15589557,WESTERLY
222774.80768568,86206.19595633,WESTERLY
223386.77184307,85681.30819637,WESTERLY
306479.39125894,34074.70307891,NEW SHOREHAM
306943.33744870,42941.16409203,NEW SHOREHAM
308387.61811475,35214.08650309,NEW SHOREHAM
